query_id,measure,perfect,binarized,nearrandom
318,nDCG@100,0.1329315806149847,0.12074598015929817,0.13257611570646657
319,AP,0.05023413083161933,0.02479911868625203,0.005034625769843042
319,RR,0.05263157894736842,0.025,0.04
319,R@1000,0.4294117647058823,0.3352941176470588,0.1588235294117647
319,nDCG@3,0.0,0.0,0.0
319,nDCG@10,0.0,0.0,0.0
319,nDCG@20,0.032864970567577,0.0,0.0
319,nDCG@100,0.1286207160250565,0.055563340924991655,0.027636298707182472
320,AP,0.10383348584568097,0.17509199134199135,0.21081832820963256
320,RR,0.05555555555555555,0.09090909090909091,0.1
320,R@1000,1.0,1.0,1.0
320,nDCG@3,0.0,0.0,0.0
320,nDCG@10,0.0,0.0,0.0874717141014082
320,nDCG@20,0.07123530534387781,0.2340912564659719,0.3937841125145314
320,nDCG@100,0.3687401390938467,0.4314873311091947,0.45978299766380315
321,AP,0.21395821387764516,0.19908910787143527,0.21346897225498823
321,RR,1.0,1.0,1.0
321,R@1000,0.5024630541871922,0.4729064039408867,0.5024630541871922
321,nDCG@3,1.0,1.0,1.0
321,nDCG@10,1.0,1.0,1.0
321,nDCG@20,0.9310524987068722,0.8963907876812648,0.8987142075585525
321,nDCG@100,0.5098505969425378,0.49155398856775173,0.5094163289755149
322,AP,0.07797508876236135,0.09132007470915054,0.06364072661205845
322,RR,0.3333333333333333,0.3333333333333333,0.16666666666666666
322,R@1000,0.5588235294117647,0.6764705882352942,0.6470588235294118
322,nDCG@3,0.23463936301137822,0.23463936301137822,0.0
322,nDCG@10,0.1736666713479918,0.19518900079066107,0.15176219107803537
322,nDCG@20,0.18318525989112514,0.15830689903713438,0.09794236285250282
322,nDCG@100,0.2388418689402027,0.3031280911206006,0.20852249037555187
323,AP,0.12388282700952818,0.10708847345505336,0.09142709022300076
323,RR,1.0,1.0,0.5
323,R@1000,0.3114754098360656,0.2459016393442623,0.21311475409836064
323,nDCG@3,0.7039180890341347,0.7039180890341347,0.5307212739772434
323,nDCG@10,0.7191184989488184,0.7093753650484099,0.5645252544249327
323,nDCG@20,0.5004518868836316,0.496192336569479,0.44125398400915344
323,nDCG@100,0.28201541383034134,0.2613747032355494,0.21011946326536718
324,AP,0.4424915487695669,0.384778466066559,0.44840942744597245
324,RR,1.0,1.0,1.0
