query_id,measure,perfect,binarized,nearrandom
345,nDCG@3,0.0,0.0,0.0
345,nDCG@10,0.0,0.0,0.0
345,nDCG@20,0.0,0.0,0.0
345,nDCG@100,0.0,0.0,0.0
346,AP,5.19348360023239e-05,1.139211665527455e-05,9.63948332369385e-06
346,RR,0.0024813895781637717,0.0011961722488038277,0.0010121457489878543
346,R@1000,0.01904761904761905,0.009523809523809525,0.009523809523809525
346,nDCG@3,0.0,0.0,0.0
346,nDCG@10,0.0,0.0,0.0
346,nDCG@20,0.0,0.0,0.0
346,nDCG@100,0.0,0.0,0.0
347,AP,3.9632213062777425e-05,1.6740324092674436e-05,1.5814777327935223e-05
347,RR,0.006024096385542169,0.002544529262086514,0.002403846153846154
347,R@1000,0.006578947368421052,0.006578947368421052,0.006578947368421052
347,nDCG@3,0.0,0.0,0.0
347,nDCG@10,0.0,0.0,0.0
347,nDCG@20,0.0,0.0,0.0
347,nDCG@100,0.0,0.0,0.0
348,AP,0.0,0.0,0.0
348,RR,0.0,0.0,0.0
348,R@1000,0.0,0.0,0.0
348,nDCG@3,0.0,0.0,0.0
348,nDCG@10,0.0,0.0,0.0
348,nDCG@20,0.0,0.0,0.0
348,nDCG@100,0.0,0.0,0.0
349,AP,0.0,0.0,0.0
349,RR,0.0,0.0,0.0
349,R@1000,0.0,0.0,0.0
349,nDCG@3,0.0,0.0,0.0
349,nDCG@10,0.0,0.0,0.0
349,nDCG@20,0.0,0.0,0.0
349,nDCG@100,0.0,0.0,0.0
350,AP,3.586800573888092e-05,2.2349365278026104e-05,1.7486185913128627e-05
350,RR,0.0024390243902439024,0.001519756838905775,0.0011890606420927466
350,R@1000,0.014705882352941176,0.014705882352941176,0.014705882352941176
350,nDCG@3,0.0,0.0,0.0
350,nDCG@10,0.0,0.0,0.0
350,nDCG@20,0.0,0.0,0.0
350,nDCG@100,0.0,0.0,0.0
351,AP,0.0,0.0,0.0
351,RR,0.0,0.0,0.0
351,R@1000,0.0,0.0,0.0
351,nDCG@3,0.0,0.0,0.0
351,nDCG@10,0.0,0.0,0.0
351,nDCG@20,0.0,0.0,0.0
351,nDCG@100,0.0,0.0,0.0
352,AP,0.004649921313846416,0.0,0.0
352,RR,0.125,0.0,0.0
352,R@1000,0.08130081300813008,0.0,0.0
352,nDCG@3,0.0,0.0,0.0
352,nDCG@10,0.13305201013572898,0.0,0.0
352,nDCG@20,0.12061759568742936,0.0,0.0
352,nDCG@100,0.05707962681185782,0.0,0.0
353,AP,1.2179377877378022e-05,8.785339026233022e-06,0.0
353,RR,0.0014858841010401188,0.0010718113612004287,0.0
353,R@1000,0.00819672131147541,0.00819672131147541,0.0
353,nDCG@3,0.0,0.0,0.0
353,nDCG@10,0.0,0.0,0.0
353,nDCG@20,0.0,0.0,0.0
353,nDCG@100,0.0,0.0,0.0
354,AP,0.00024205314262829217,6.751582350326888e-05,5.74136767527843e-05
354,RR,0.045454545454545456,0.005208333333333333,0.0037174721189591076
354,R@1000,0.013850415512465374,0.0110803324099723,0.0110803324099723
354,nDCG@3,0.0,0.0,0.0
354,nDCG@10,0.0,0.0,0.0
354,nDCG@20,0.0,0.0,0.0
354,nDCG@100,0.010557725023943067,0.0,0.0
355,AP,0.0031746031746031746,0.0017094017094017094,0.0015873015873015873
355,RR,0.14285714285714285,0.07692307692307693,0.07142857142857142
355,R@1000,0.022222222222222223,0.022222222222222223,0.022222222222222223
355,nDCG@3,0.0,0.0,0.0
355,nDCG@10,0.07336392209936005,0.0,0.0
355,nDCG@20,0.04734667987788577,0.03730675036644464,0.036356287988538835
355,nDCG@100,0.027761420990560528,0.021874572945427526,0.021317275447972874
356,AP,0.0007622871296424628,9.049773755656108e-05,6.572461386789353e-05
356,RR,0.004484304932735426,0.0015384615384615385,0.0011173184357541898
356,R@1000,0.11764705882352941,0.058823529411764705,0.058823529411764705
356,nDCG@3,0.0,0.0,0.0
356,nDCG@10,0.0,0.0,0.0
356,nDCG@20,0.0,0.0,0.0
356,nDCG@100,0.0,0.0,0.0
357,AP,8.956314766343698e-05,6.229241085417058e-05,8.20509314922982e-05
357,RR,0.008403361344537815,0.006666666666666667,0.007751937984496124
357,R@1000,0.011111111111111112,0.007407407407407408,0.011111111111111112
357,nDCG@3,0.0,0.0,0.0
357,nDCG@10,0.0,0.0,0.0
357,nDCG@20,0.0,0.0,0.0
357,nDCG@100,0.0,0.0,0.0
358,AP,0.0,0.0,0.0
358,RR,0.0,0.0,0.0
358,R@1000,0.0,0.0,0.0
358,nDCG@3,0.0,0.0,0.0
358,nDCG@10,0.0,0.0,0.0
358,nDCG@20,0.0,0.0,0.0
358,nDCG@100,0.0,0.0,0.0
359,AP,0.0,0.0,0.0
359,RR,0.0,0.0,0.0
359,R@1000,0.0,0.0,0.0
359,nDCG@3,0.0,0.0,0.0
359,nDCG@10,0.0,0.0,0.0
359,nDCG@20,0.0,0.0,0.0
359,nDCG@100,0.0,0.0,0.0
360,AP,7.136332496003654e-06,0.0,6.884112844377746e-06
360,RR,0.0010775862068965517,0.0,0.0010395010395010396
360,R@1000,0.006622516556291391,0.0,0.006622516556291391
360,nDCG@3,0.0,0.0,0.0
360,nDCG@10,0.0,0.0,0.0
360,nDCG@20,0.0,0.0,0.0
360,nDCG@100,0.0,0.0,0.0
361,AP,0.0,0.0,0.0
361,RR,0.0,0.0,0.0
361,R@1000,0.0,0.0,0.0
361,nDCG@3,0.0,0.0,0.0
361,nDCG@10,0.0,0.0,0.0
361,nDCG@20,0.0,0.0,0.0
361,nDCG@100,0.0,0.0,0.0
362,AP,2.5821778087639115e-05,0.0,0.0
362,RR,0.0010070493454179255,0.0,0.0
362,R@1000,0.02564102564102564,0.0,0.0
362,nDCG@3,0.0,0.0,0.0
362,nDCG@10,0.0,0.0,0.0
362,nDCG@20,0.0,0.0,0.0
362,nDCG@100,0.0,0.0,0.0
363,AP,0.0,0.0,0.0
363,RR,0.0,0.0,0.0
363,R@1000,0.0,0.0,0.0
363,nDCG@3,0.0,0.0,0.0
363,nDCG@10,0.0,0.0,0.0
363,nDCG@20,0.0,0.0,0.0
363,nDCG@100,0.0,0.0,0.0
364,AP,3.794346423828495e-05,3.112356053532524e-05,3.446493193175943e-05
364,RR,0.0013280212483399733,0.0010893246187363835,0.0012062726176115801
364,R@1000,0.02857142857142857,0.02857142857142857,0.02857142857142857
364,nDCG@3,0.0,0.0,0.0
364,nDCG@10,0.0,0.0,0.0
364,nDCG@20,0.0,0.0,0.0
364,nDCG@100,0.0,0.0,0.0
365,AP,0.0,0.0,0.0
365,RR,0.0,0.0,0.0
365,R@1000,0.0,0.0,0.0
365,nDCG@3,0.0,0.0,0.0
365,nDCG@10,0.0,0.0,0.0
365,nDCG@20,0.0,0.0,0.0
365,nDCG@100,0.0,0.0,0.0
366,AP,0.00023880594761961426,0.00011144859629708115,0.0001201707472334535
366,RR,0.010638297872340425,0.006993006993006993,0.007936507936507936
366,R@1000,0.04040404040404041,0.020202020202020204,0.020202020202020204
366,nDCG@3,0.0,0.0,0.0
366,nDCG@10,0.0,0.0,0.0
366,nDCG@20,0.0,0.0,0.0
366,nDCG@100,0.007321860176885316,0.0,0.0
367,AP,0.017000435945808242,7.452120128176467e-05,6.532105297537396e-05
367,RR,0.019230769230769232,0.014084507042253521,0.012345679012345678
367,R@1000,0.23809523809523808,0.005291005291005291,0.005291005291005291
367,nDCG@3,0.0,0.0,0.0
367,nDCG@10,0.0,0.0,0.0
367,nDCG@20,0.0,0.0,0.0
367,nDCG@100,0.047312621076522336,0.007740535460261786,0.007512093212313244
368,AP,0.00041715881061935966,0.00031396798005943824,0.0003253040436918251
368,RR,0.006060606060606061,0.005263157894736842,0.00510204081632653
368,R@1000,0.04918032786885246,0.04918032786885246,0.04918032786885246
368,nDCG@3,0.0,0.0,0.0
368,nDCG@10,0.0,0.0,0.0
368,nDCG@20,0.0,0.0,0.0
368,nDCG@100,0.0,0.0,0.0
369,AP,0.0,0.0,0.0
369,RR,0.0,0.0,0.0
369,R@1000,0.0,0.0,0.0
369,nDCG@3,0.0,0.0,0.0
369,nDCG@10,0.0,0.0,0.0
369,nDCG@20,0.0,0.0,0.0
369,nDCG@100,0.0,0.0,0.0
370,AP,0.00018683022918899675,2.1623963721093524e-05,2.0553040384771154e-05
370,RR,0.0031446540880503146,0.001488095238095238,0.0014204545454545455
370,R@1000,0.026785714285714284,0.008928571428571428,0.008928571428571428
370,nDCG@3,0.0,0.0,0.0
370,nDCG@10,0.0,0.0,0.0
370,nDCG@20,0.0,0.0,0.0
370,nDCG@100,0.0,0.0,0.0
371,AP,0.01104841145070837,0.0,0.0
371,RR,0.14285714285714285,0.0,0.0
371,R@1000,0.29411764705882354,0.0,0.0
371,nDCG@3,0.0,0.0,0.0
371,nDCG@10,0.07336392209936005,0.0,0.0
371,nDCG@20,0.05252809026007655,0.0,0.0
371,nDCG@100,0.05252809026007655,0.0,0.0
372,AP,0.0,0.0,0.0
372,RR,0.0,0.0,0.0
372,R@1000,0.0,0.0,0.0
372,nDCG@3,0.0,0.0,0.0
372,nDCG@10,0.0,0.0,0.0
372,nDCG@20,0.0,0.0,0.0
372,nDCG@100,0.0,0.0,0.0
373,AP,0.0,0.0,0.0
373,RR,0.0,0.0,0.0
373,R@1000,0.0,0.0,0.0
373,nDCG@3,0.0,0.0,0.0
373,nDCG@10,0.0,0.0,0.0
373,nDCG@20,0.0,0.0,0.0
373,nDCG@100,0.0,0.0,0.0
374,AP,1.580173033386168e-05,5.074493565542159e-06,4.921647373808961e-06
374,RR,0.0011160714285714285,0.0010351966873706005,0.001004016064257028
374,R@1000,0.00980392156862745,0.004901960784313725,0.004901960784313725
374,nDCG@3,0.0,0.0,0.0
374,nDCG@10,0.0,0.0,0.0
374,nDCG@20,0.0,0.0,0.0
374,nDCG@100,0.0,0.0,0.0
375,AP,9.056907366904967e-05,4.233019174520637e-05,4.5375161610164634e-05
375,RR,0.001422475106685633,0.001176470588235294,0.0012853470437017994
375,R@1000,0.0375,0.025,0.025
375,nDCG@3,0.0,0.0,0.0
375,nDCG@10,0.0,0.0,0.0
375,nDCG@20,0.0,0.0,0.0
375,nDCG@100,0.0,0.0,0.0
376,AP,0.0,0.0,0.0
376,RR,0.0,0.0,0.0
376,R@1000,0.0,0.0,0.0
376,nDCG@3,0.0,0.0,0.0
376,nDCG@10,0.0,0.0,0.0
376,nDCG@20,0.0,0.0,0.0
376,nDCG@100,0.0,0.0,0.0
377,AP,0.0,0.0,0.0
377,RR,0.0,0.0,0.0
377,R@1000,0.0,0.0,0.0
377,nDCG@3,0.0,0.0,0.0
377,nDCG@10,0.0,0.0,0.0
377,nDCG@20,0.0,0.0,0.0
377,nDCG@100,0.0,0.0,0.0
378,AP,3.435717721432007e-05,1.1426743149667482e-05,0.0
378,RR,0.003367003367003367,0.0011198208286674132,0.0
378,R@1000,0.01020408163265306,0.01020408163265306,0.0
378,nDCG@3,0.0,0.0,0.0
378,nDCG@10,0.0,0.0,0.0
378,nDCG@20,0.0,0.0,0.0
378,nDCG@100,0.0,0.0,0.0
379,AP,0.0,0.0,0.0
379,RR,0.0,0.0,0.0
379,R@1000,0.0,0.0,0.0
