mean_value,best,tpgr,measure,collection,user_model,encoder,model
0.233068907486458,0,0,AP,trec-robust-2004,binarized,dragon,vprf5
0.228827091416255,0,0,AP,trec-robust-2004,binarized,dragon,vprf20
0.223191700461258,0,0,AP,trec-robust-2004,binarized,dragon,ClickLogsMean
0.361971066331712,1,1,AP,trec-robust-2004,binarized,dragon,ClickLogsLinearModel
0.291768826864994,0,0,AP,trec-robust-2004,binarized,dragon,corocchio
0.223191700461258,0,0,AP,trec-robust-2004,binarized,dragon,nodime
0.27716541326946,0,0,AP,trec-robust-2004,binarized,tasb,corocchio
0.23237561402832,0,0,AP,trec-robust-2004,binarized,tasb,vprf5
0.315972499411102,0,1,AP,trec-robust-2004,binarized,tasb,ClickLogsCorrelation
0.209052603881974,0,0,AP,trec-robust-2004,binarized,tasb,vprf20
0.260114458967596,0,0,AP,trec-robust-2004,binarized,tasb,ClickLogsWeightedMax
0.329827874138304,1,1,AP,trec-robust-2004,binarized,tasb,ClickLogsLinearModel
0.230936448475441,0,0,AP,trec-robust-2004,binarized,tasb,LLM
0.269749910833592,0,0,AP,trec-robust-2004,binarized,tasb,ClickLogsWeightedMean
0.219479320434629,0,0,AP,trec-robust-2004,binarized,tasb,ClickLogsMean
0.208285438165119,0,0,AP,trec-robust-2004,binarized,tasb,nodime
0.260331243479257,0,0,AP,trec-robust-2004,nearrandom,contriever,LLM
0.308405264918841,1,1,AP,trec-robust-2004,nearrandom,contriever,ClickLogsCorrelation
0.255469431178363,0,0,AP,trec-robust-2004,nearrandom,contriever,ClickLogsMean
0.2532695439497,0,0,AP,trec-robust-2004,nearrandom,contriever,vprf5
0.307569665903662,0,1,AP,trec-robust-2004,nearrandom,contriever,ClickLogsLinearModel
0.227261777891497,0,0,AP,trec-robust-2004,nearrandom,contriever,corocchio
0.24754211442768,0,0,AP,trec-robust-2004,nearrandom,contriever,vprf20
0.23476845891428,0,0,AP,trec-robust-2004,nearrandom,contriever,nodime
0.23476845891428,0,0,AP,trec-robust-2004,nearrandom,contriever,ClickLogsWeightedMean
0.257352594196665,0,0,AP,trec-robust-2004,nearrandom,contriever,ClickLogsWeightedMax
0.228791174644658,0,0,AP,trec-robust-2004,nearrandom,dragon,ClickLogsWeightedMax
0.233633152599081,0,0,AP,trec-robust-2004,nearrandom,dragon,LLM
0.286567302355683,0,1,AP,trec-robust-2004,nearrandom,dragon,ClickLogsCorrelation
0.223191700461258,0,0,AP,trec-robust-2004,nearrandom,dragon,ClickLogsWeightedMean
0.233068907486458,0,0,AP,trec-robust-2004,nearrandom,dragon,vprf5
0.228827091416255,0,0,AP,trec-robust-2004,nearrandom,dragon,vprf20
0.223191700461258,0,0,AP,trec-robust-2004,nearrandom,dragon,ClickLogsMean
0.295972189245654,1,1,AP,trec-robust-2004,nearrandom,dragon,ClickLogsLinearModel
0.208579564016701,0,0,AP,trec-robust-2004,nearrandom,dragon,corocchio
0.223191700461258,0,0,AP,trec-robust-2004,nearrandom,dragon,nodime
0.181456154637023,0,0,AP,trec-robust-2004,nearrandom,tasb,corocchio
0.23237561402832,0,0,AP,trec-robust-2004,nearrandom,tasb,vprf5
0.263401172388751,0,1,AP,trec-robust-2004,nearrandom,tasb,ClickLogsCorrelation
